,latitude,longitude,name
20390,-2.75,107.75,Tanjungpandan / Buluh Tumbang
20393,-2.7,110.7,Pangkalan Bun / Iskandar
20396,-3.4333,114.75,Banjarmasin / Syamsuddin Noor
20405,-4.1,122.4333,Kendari / Woltermon-Ginsidi
20415,-2.8833,132.25,Fak-Fak / Torea
20641,4.8833,-1.7667,Takoradi
20653,-2.85,11.0167,Tchibanga
20654,-3.4833,12.6167,Makabana
20656,-2.5333,14.7667,Djambala
20658,-2.6167,16.2167,M'Pouya
20674,-2.4667,32.9167,Mwanza
20746,-2.9,104.7,Palembang / Talangbetutu
20748,-2.1667,106.1333,Pangkalpinang / Pangkalpinang
20780,-1.8333,138.7167,Sarmi
20782,-2.5667,140.4833,Jayapura / Sentani
20946,-2.4333,-54.7167,Santarem-Aeroporto
21011,-1.8667,11.0167,Mouila
21017,-1.8667,15.8667,Gamboma
21031,-1.9667,30.1167,Kigali
21104,-1.6333,103.65,Jambi / Sultan Taha
21114,-1.0,114.0,Palangkaraya / Panarung
21131,-0.9333,131.1167,Sorong / Jefman
21135,-0.8833,134.05,Manokwari / Rendani
21310,0.0333,-50.05,Macapa
21370,-0.7167,10.2333,Lambarene
21372,-0.8333,12.7167,Lastoursville
21399,-0.4667,39.6333,Garissa
21462,0.4667,102.3167,Rengat / Japura
21465,-0.4833,104.5833,Singkep / Dabo
21477,-1.2667,116.9,Balikpapan / Sepinggan
21479,-0.6833,119.7333,Palu / Mutiara
21488,0.7833,127.3833,Ternate / Babullah
21496,-1.1833,136.1167,Biak / Mokmer
21728,0.45,9.4167,Libreville
21735,-0.0167,15.5833,Makoua
21818,1.55,98.8833,Sibolga / Pinangsori
21820,0.4667,101.45,Pakanbaru / Simpangtiga
21827,-0.15,109.4,Pontianak / Supadio
21841,0.5167,123.0667,Gorontalo / Jalaluddin
21970,16.8333,-99.9333,"Acapulco, Gro."
22001,1.4167,-77.2667,Pasto / Antonio Narin
22073,4.95,-6.0833,Sassandra
22091,0.5667,12.8667,Makokou
22094,1.6167,16.05,Ouesso
22096,1.6167,18.0667,Impfondo
22113,1.0167,35.0,Kitale
22114,0.5333,35.2833,Eldoret
22183,0.9167,104.5333,Tanjungpinang / Kijang
22189,1.4833,110.3333,Kuching
22426,6.25,-10.35,"Grand Bassa, Roberts Field"
22433,5.25,-3.9333,Abidjan
22448,2.0833,11.4833,Bitam
22450,2.0667,14.1333,Souanke
22473,3.1167,35.6167,Lodwar
22479,3.9333,41.8667,Mandera
22538,2.7333,101.7,Sepang/KL International Airport
22539,2.2667,102.25,Malacca
22549,2.3333,111.8333,Sibu
22561,1.5333,124.9167,Menado / Dr. Sam Ratulangi
22720,3.55,-76.3833,Cali / Alfonso Bonillaaragon
22721,2.9667,-75.3,Neiva / Benito Salas
22773,8.6167,-13.2,Lungi
22812,4.25,15.8,Berberati
22835,3.5333,39.05,Moyale
22888,5.5167,95.4167,Banda Aceh / Blangbintang
22894,3.5667,98.6833,Medan / Polonia
22899,3.6167,103.2167,Kuantan
22909,3.2,113.0333,Bintulu
22914,3.3333,117.5667,Tarakan / Juwata
23079,4.5,-75.7167,Armenia / El Eden
23081,4.1667,-73.6167,Villavicencio / Vanguardia
23102,4.8333,-52.3667,Cayenne / Rochambeau
23132,12.4,-16.75,Cap-Skirring
23162,4.85,7.0167,Port Harcourt
